date,tmin,tmax,prcp,snow,snwd,awnd
10/04/2021,57,79,0.24,0,0,8.95
12/04/2021,49,79,0,0,0,4.25
16/04/2021,38,69,0,0,0,4.92
19/04/2021,47,66,0.01,0,0,4.7
21/04/2021,42,77,0,0,0,10.74
29/04/2021,67,86,0,0,0,16.11
01/05/2021,49,74,0,0,0,4.25
05/05/2021,63,85,0,0,0,10.07
16/05/2021,45,73,0.01,0,0,1.79
18/05/2021,57,76,0,0,0,3.58
27/05/2021,67,92,0,0,0,3.13
29/05/2021,54,85,0.06,0,0,9.17
15/06/2021,64,85,0,0,0,5.14
16/06/2021,59,83,0,0,0,3.36
28/06/2021,67,90,0,0,0,4.92
30/06/2021,73,92,0,0,0,8.72
03/07/2021,59,81,0,0,0,3.13
09/07/2021,70,91,0.52,0,0,6.26
12/07/2021,74,90,0,0,0,10.07
16/07/2021,73,93,0,0,0,6.71
27/07/2021,71,93,0,0,0,4.92
29/07/2021,68,94,0,0,0,8.28
30/07/2021,76,96,0,0,0,6.71
02/08/2021,69,85,0,0,0,7.16
04/08/2021,66,81,0.03,0,0,8.05
06/08/2021,61,87,0.39,0,0,2.91
10/08/2021,73,96,0,0,0,6.49
11/08/2021,74,97,0,0,0,7.61
12/08/2021,74,98,0,0,0,6.71
17/08/2021,73,86,0.08,0,0,6.04
18/08/2021,76,91,0.1,0,0,9.4
29/08/2021,71,95,0,0,0,2.46
01/09/2021,68,88,0.21,0,0,13.65
02/09/2021,58,81,0,0,0,6.71
04/09/2021,54,85,0,0,0,2.91
05/09/2021,64,89,0,0,0,8.5
07/09/2021,62,91,0,0,0,4.03
14/09/2021,67,91,0,0,0,6.04
18/09/2021,71,86,0,0,0,2.46
23/09/2021,54,78,0,0,0,3.58
26/09/2021,51,78,0,0,0,2.91
29/09/2021,60,84,0,0,0,4.25
17/10/2021,45,66,0,0,0,4.25
23/10/2021,50,73,0,0,0,2.24
24/10/2021,48,78,0,0,0,4.25
25/10/2021,61,79,1.04,0,0,5.14
27/10/2021,46,70,0,0,0,3.36
28/10/2021,47,72,0.28,0,0,6.93
02/11/2021,45,66,0,0,0,5.14
10/11/2021,43,79,0,0,0,1.34
11/11/2021,45,75,0.02,0,0,5.82
12/11/2021,46,71,0,0,0,5.14
17/11/2021,42,75,0,0,0,6.04
19/11/2021,33,59,0,0,0,5.59
22/11/2021,41,57,0.52,0,0,4.25
29/11/2021,27,49,0,0,0,4.03
01/12/2021,30,67,0,0,0,3.36
04/12/2021,44,73,0,0,0,3.58
06/12/2021,47,73,0,0,0,11.41
10/12/2021,37,59,0,0,0,2.46
11/12/2021,55,73,0.41,0,0,12.3
14/12/2021,28,61,0,0,0,3.58
15/12/2021,32,62,0,0,0,2.01
18/12/2021,59,71,0.02,0,0,9.4
28/12/2021,53,75,0,0,0,9.17
08/01/2022,21,42,0,0,0,3.8
17/01/2022,33,42,0,0,0,13
26/01/2022,28,42,0,0,0,8.5
05/02/2022,27,47,0,0,0,6.5
08/02/2022,33,50,0,0,0,2.9
15/02/2022,23,53,0,0,0,3.8
16/02/2022,33,67,0,0,0,8.3
20/02/2022,26,54,0,0,0,5.4
22/02/2022,59,73,0,0,0,11.4
23/02/2022,55,71,0.09,0,0,4.9
05/03/2022,45,70,0,0,0,6
09/03/2022,45,52,0.42,0,0,4.5
10/03/2022,43,49,0.05,0,0,7.2
13/03/2022,23,52,0,0,0,8.3
20/03/2022,46,67,0,0,0,7.6
22/03/2022,47,76,0,0,0,8.1
23/03/2022,59,74,0.13,0,0,9.8
01/04/2022,46,69,0,0,0,9.6
02/04/2022,35,66,0,0,0,3.8
06/04/2022,61,81,0,0,0,9.2
11/04/2022,43,82,0,0,0,7.4
14/04/2022,67,82,0,0,0,12.3
17/04/2022,56,75,0,0,0,
23/04/2022,59,83,0,0,0,6.5
28/04/2022,45,71,0,0,0,4.3
27/05/2022,68,81,1.12,0,0,10.7
04/01/2017,41,64,0,0,0,5.82
12/01/2017,54,73,0,0,0,12.53
17/01/2017,47,62,0.04,0,0,8.28
27/01/2017,30,51,0,0,0,6.49
29/01/2017,30,54,0.02,0,0,8.05
31/01/2017,31,68,0,0,0,12.75
01/02/2017,42,70,0,0,0,3.8
13/02/2017,37,64,0,0,0,7.16
15/02/2017,39,56,0.34,0,0,5.37
17/02/2017,34,66,0,0,0,6.71
14/03/2017,30,54,0.25,0,0,10.51
19/03/2017,36,57,0,0,0,7.16
21/03/2017,50,82,0.2,0,0,5.82
27/03/2017,59,79,0.06,0,0,9.17
30/03/2017,55,67,0,0,0,8.95
31/03/2017,58,79,0.42,0,0,10.74
12/04/2017,56,83,0,0,0,4.03
19/04/2017,55,69,0,0,0,3.58
26/04/2017,56,81,0,0,0,5.37
27/04/2017,62,82,0,0,0,10.51
29/04/2017,72,89,0,0,0,10.07
30/04/2017,70,86,0.02,0,0,10.51
05/05/2017,56,78,1.48,0,0,15.88
14/05/2017,49,81,0,0,0,7.16
16/05/2017,57,87,0,0,0,3.58
27/05/2017,61,88,0,0,0,6.04
31/05/2017,68,86,0,0,0,4.7
07/06/2017,59,77,0,0,0,10.29
19/06/2017,70,92,0.09,0,0,11.86
24/06/2017,71,91,0.46,0,0,7.83
26/06/2017,60,85,0,0,0,3.36
29/06/2017,60,87,0,0,0,6.71
01/07/2017,73,90,0,0,0,9.17
03/07/2017,70,93,0.15,0,0,2.91
07/07/2017,73,91,0,0,0,8.95
09/07/2017,69,88,0,0,0,3.36
21/07/2017,74,98,0,0,0,5.59
24/07/2017,71,93,0,0,0,7.16
31/07/2017,58,87,0,0,0,4.47
02/08/2017,66,91,0,0,0,3.36
05/08/2017,68,92,0,0,0,6.49
12/08/2017,73,92,0.48,0,0,5.37
29/08/2017,64,71,0.22,0,0,8.5
07/09/2017,53,76,0,0,0,2.91
10/09/2017,51,71,0,0,0,8.95
12/09/2017,63,79,0.63,0,0,10.74
19/09/2017,64,85,0,0,0,4.25
26/09/2017,69,85,0,0,0,7.61
27/09/2017,68,91,0,0,0,5.59
01/10/2017,48,71,0,0,0,7.16
07/10/2017,59,86,0.15,0,0,6.26
16/10/2017,51,69,0.25,0,0,5.82
22/10/2017,51,79,0,0,0,3.13
27/10/2017,38,73,0,0,0,5.82
01/11/2017,46,73,0,0,0,4.25
07/11/2017,44,63,0.1,0,0,6.49
12/11/2017,28,49,0.03,0,0,1.57
15/11/2017,33,54,0,0,0,3.58
17/11/2017,34,57,0,0,0,2.91
21/11/2017,30,64,0,0,0,2.91
27/11/2017,26,61,0,0,0,1.34
09/12/2017,32,34,0.3,0,0,5.82
11/12/2017,26,55,0,0,0,4.92
13/12/2017,21,43,0,0,0,8.72
16/12/2017,24,50,0,0,0,3.58
19/12/2017,36,70,0,0,0,4.47
21/12/2017,36,53,0,0,0,4.47
24/12/2017,43,61,0,0,0,7.38
27/12/2017,27,45,0,0,0,4.7
31/12/2017,23,35,0,0,0,10.07
05/01/2018,12,31,0,0,0,5.59
13/01/2018,29,56,0,0,0,9.62
15/01/2018,17,39,0,0,0,3.8
16/01/2018,20,47,0,0,0,1.79
18/01/2018,10,34,0,0.2,5.9,5.59
22/01/2018,38,62,0,0,0,4.7
04/02/2018,33,56,0.61,0,0,6.49
01/03/2018,50,57,0.59,0,0,4.47
06/03/2018,32,42,0.45,0,0,4.47
15/03/2018,24,65,0,0,0,11.63
16/03/2018,39,68,0,0,0,5.82
18/03/2018,40,60,0.01,0,0,6.04
19/03/2018,44,65,0,0,0,5.59
21/03/2018,32,42,0.05,0,0,6.93
26/03/2018,32,53,0,0,0,10.29
28/03/2018,43,76,0,0,0,10.74
02/04/2018,51,81,0,0,0,9.84
05/04/2018,34,61,0,0,0,3.58
07/04/2018,33,62,0.99,0,0,8.05
17/04/2018,33,62,0,0,0,9.4
29/04/2018,44,66,0,0,0,5.82
30/04/2018,36,72,0,0,0,4.03
10/05/2018,59,87,0.18,0,0,9.17
15/05/2018,69,88,0.02,0,0,8.72
16/05/2018,68,85,0.76,0,0,6.71
19/05/2018,69,75,0.59,0,0,8.5
31/05/2018,71,88,0,0,0,7.16
04/06/2018,64,85,0,0,0,5.59
09/06/2018,68,89,0,0,0,2.68
19/06/2018,73,96,0,0,0,5.59
22/06/2018,71,95,0,0,0,6.04
23/06/2018,74,92,0.18,0,0,8.72
27/06/2018,65,86,0,0,0,3.58
29/06/2018,70,92,0,0,0,4.25
03/07/2018,75,95,0,0,0,6.49
11/07/2018,67,96,0.05,0,0,3.8
12/07/2018,72,87,0.01,0,0,7.61
05/08/2018,72,93,0,0,0,3.36
11/08/2018,72,91,0.04,0,0,4.47
17/08/2018,73,91,0,0,0,9.62
23/08/2018,60,80,0,0,0,5.14
28/08/2018,71,94,0,0,0,6.04
30/08/2018,73,95,0,0,0,6.49
01/09/2018,71,93,0.19,0,0,4.92
12/09/2018,72,88,0.13,0,0,5.14
17/09/2018,72,88,1.32,0,0,11.63
21/09/2018,70,83,0,0,0,4.92
23/09/2018,64,76,0,0,0,5.37
24/09/2018,64,74,0,0,0,5.82
29/09/2018,60,82,0,0,0,3.36
02/10/2018,61,83,0,0,0,3.8
05/10/2018,68,90,0,0,0,3.8
06/10/2018,68,82,0,0,0,3.58
19/10/2018,39,69,0,0,0,3.13
28/10/2018,42,64,0,0,0,8.5
31/10/2018,42,72,0,0,0,8.5
03/11/2018,39,61,0,0,0,5.82
07/11/2018,49,73,0,0,0,1.34
11/11/2018,28,51,0,0,0,4.03
17/11/2018,33,59,0,0,0,1.57
30/11/2018,42,68,0.02,0,0,8.72
21/12/2018,46,65,0.04,0,0,14.99
24/12/2018,29,51,0,0,0,4.03
27/12/2018,29,54,0.02,0,0,5.14
31/12/2018,47,67,0.13,0,0,8.05
01/01/2019,51,71,0,0,0,7.38
03/01/2019,47,55,0.21,0,0,2.68
08/01/2019,46,67,0,0,0,9.17
13/01/2019,32,37,1.04,0,0,7.38
15/01/2019,28,47,0,0,0,1.34
19/01/2019,37,59,0,0,0,8.05
23/01/2019,31,64,0.04,0,0,7.83
06/02/2019,47,77,0,0,0,7.16
08/02/2019,45,75,0,0,0,9.17
27/02/2019,40,50,0.29,0,0,3.13
28/02/2019,42,62,0,0,0,5.82
07/03/2019,23,50,0,0,0,2.46
08/03/2019,39,49,0.1,0,0,4.7
22/03/2019,42,63,0,0,0,9.4
27/03/2019,30,57,0,0,0,6.93
28/03/2019,32,66,0,0,0,3.58
03/04/2019,31,69,0,0,0,4.7
08/04/2019,57,81,1.98,0,0,8.5
09/04/2019,61,74,0.04,0,0,5.82
11/04/2019,47,79,0,0,0,6.49
12/04/2019,59,69,0.65,0,0,9.17
22/04/2019,43,73,0,0,0,1.79
23/04/2019,46,81,0,0,0,7.38
30/04/2019,60,86,0,0,0,8.5
03/05/2019,63,84,0,0,0,8.28
08/05/2019,62,83,0,0,0,7.38
10/05/2019,66,78,0,0,0,8.28
11/05/2019,64,81,0.18,0,0,5.37
14/05/2019,47,67,0,0,0,4.92
16/05/2019,51,79,0,0,0,4.03
21/05/2019,63,85,0,0,0,5.82
12/06/2019,59,74,0.35,0,0,6.71
14/06/2019,53,79,0,0,0,4.03
28/06/2019,70,97,1.09,0,0,3.8
30/06/2019,69,94,0,0,0,5.14
03/07/2019,70,97,0,0,0,4.03
07/07/2019,75,93,0.21,0,0,6.04
11/07/2019,75,93,0,0,0,9.17
14/07/2019,72,96,0,0,0,3.36
15/07/2019,70,95,0.35,0,0,4.25
17/07/2019,76,98,0.03,0,0,8.95
